production_id,date,time,turbine_name,capacity,location_name,latitude,longitude,region,status,responsible_department,wind_speed,wind_direction,energy_produced
24193,2024-07-27,00-00-00,Turbine A,2200,Location 1,34.0522,-118.2437,Region A,Online,Operations,17.8115,N,1489.94325
24194,2024-07-27,00-00-00,Turbine B,2000,Location 2,36.7783,-119.4179,Region B,Online,Operations,9.92511,NW,1421.24224
24195,2024-07-27,00-00-00,Turbine C,2500,Location 3,40.7128,-74.006,Region C,Online,Operations,3.79479,NE,1536.75749
24196,2024-07-27,00-10-00,Turbine A,2200,Location 1,34.0522,-118.2437,Region A,Online,Operations,12.23574,E,1436.94099
24197,2024-07-27,00-10-00,Turbine B,2000,Location 2,36.7783,-119.4179,Region B,Online,Operations,21.60516,S,1523.79153
24198,2024-07-27,00-10-00,Turbine C,2500,Location 3,40.7128,-74.006,Region C,Online,Operations,9.97621,S,667.6372
24199,2024-07-27,00-20-00,Turbine A,2200,Location 1,34.0522,-118.2437,Region A,Online,Operations,21.82697,S,1855.49374
24200,2024-07-27,00-20-00,Turbine B,2000,Location 2,36.7783,-119.4179,Region B,Online,Operations,17.0885,S,1241.09647
24201,2024-07-27,00-20-00,Turbine C,2500,Location 3,40.7128,-74.006,Region C,Online,Operations,15.90525,E,1609.66057
24202,2024-07-27,00-30-00,Turbine A,2200,Location 1,34.0522,-118.2437,Region A,Online,Operations,3.15129,SW,827.85537
24203,2024-07-27,00-30-00,Turbine B,2000,Location 2,36.7783,-119.4179,Region B,Online,Operations,15.40313,W,1493.45259
24204,2024-07-27,00-30-00,Turbine C,2500,Location 3,40.7128,-74.006,Region C,Online,Operations,21.32429,S,977.32981
24205,2024-07-27,00-40-00,Turbine A,2200,Location 1,34.0522,-118.2437,Region A,Preventive Maintenance,Maintenance,5.25727,W,0.0
24206,2024-07-27,00-40-00,Turbine B,2000,Location 2,36.7783,-119.4179,Region B,Online,Operations,13.51923,E,847.35044
24207,2024-07-27,00-40-00,Turbine C,2500,Location 3,40.7128,-74.006,Region C,Online,Operations,10.23394,SW,1712.68226
24208,2024-07-27,00-50-00,Turbine A,2200,Location 1,34.0522,-118.2437,Region A,Online,Operations,21.37308,W,881.81473
24209,2024-07-27,00-50-00,Turbine B,2000,Location 2,36.7783,-119.4179,Region B,Online,Operations,12.43544,SE,943.27735
24210,2024-07-27,00-50-00,Turbine C,2500,Location 3,40.7128,-74.006,Region C,Online,Operations,4.66335,NW,1849.32182
24211,2024-07-27,01-00-00,Turbine A,2200,Location 1,34.0522,-118.2437,Region A,Online,Operations,16.97279,NE,1381.04189
24212,2024-07-27,01-00-00,Turbine B,2000,Location 2,36.7783,-119.4179,Region B,Online,Operations,8.50629,NW,834.60057
24213,2024-07-27,01-00-00,Turbine C,2500,Location 3,40.7128,-74.006,Region C,Online,Operations,14.27672,SW,654.13932
24214,2024-07-27,01-10-00,Turbine A,2200,Location 1,34.0522,-118.2437,Region A,Online,Operations,18.40209,SW,1207.09502
24215,2024-07-27,01-10-00,Turbine B,2000,Location 2,36.7783,-119.4179,Region B,Online,Operations,18.3657,S,1950.5197
24216,2024-07-27,01-10-00,Turbine C,2500,Location 3,40.7128,-74.006,Region C,Online,Operations,2.56555,W,1416.10418
24217,2024-07-27,01-20-00,Turbine A,2200,Location 1,34.0522,-118.2437,Region A,Online,Operations,14.58334,E,1696.98503
24218,2024-07-27,01-20-00,Turbine B,2000,Location 2,36.7783,-119.4179,Region B,Online,Operations,14.22354,S,626.22513
24219,2024-07-27,01-20-00,Turbine C,2500,Location 3,40.7128,-74.006,Region C,Preventive Maintenance,Maintenance,3.51088,W,0.0
24220,2024-07-27,01-30-00,Turbine A,2200,Location 1,34.0522,-118.2437,Region A,Online,Operations,24.23506,N,1269.82229
24221,2024-07-27,01-30-00,Turbine B,2000,Location 2,36.7783,-119.4179,Region B,Online,Operations,3.33177,SE,1388.26612
24222,2024-07-27,01-30-00,Turbine C,2500,Location 3,40.7128,-74.006,Region C,Online,Operations,11.34739,SE,1445.11694
24223,2024-07-27,01-40-00,Turbine A,2200,Location 1,34.0522,-118.2437,Region A,Online,Operations,19.89741,N,1726.05889
24224,2024-07-27,01-40-00,Turbine B,2000,Location 2,36.7783,-119.4179,Region B,Online,Operations,19.45949,NE,1524.75178
24225,2024-07-27,01-40-00,Turbine C,2500,Location 3,40.7128,-74.006,Region C,Online,Operations,20.63204,SW,1088.30878
24226,2024-07-27,01-50-00,Turbine A,2200,Location 1,34.0522,-118.2437,Region A,Online,Operations,21.1689,N,905.88376
24227,2024-07-27,01-50-00,Turbine B,2000,Location 2,36.7783,-119.4179,Region B,Online,Operations,18.61214,SW,736.53256
24228,2024-07-27,01-50-00,Turbine C,2500,Location 3,40.7128,-74.006,Region C,Online,Operations,4.56576,S,994.09827
24229,2024-07-27,02-00-00,Turbine A,2200,Location 1,34.0522,-118.2437,Region A,Online,Operations,4.42594,W,1544.39156
24230,2024-07-27,02-00-00,Turbine B,2000,Location 2,36.7783,-119.4179,Region B,Online,Operations,22.03301,NW,1002.00067
24231,2024-07-27,02-00-00,Turbine C,2500,Location 3,40.7128,-74.006,Region C,Online,Operations,17.5074,SE,1431.91697
24232,2024-07-27,02-10-00,Turbine A,2200,Location 1,34.0522,-118.2437,Region A,Preventive Maintenance,Maintenance,19.66581,S,0.0
24233,2024-07-27,02-10-00,Turbine B,2000,Location 2,36.7783,-119.4179,Region B,Online,Operations,17.59017,E,872.70245
24234,2024-07-27,02-10-00,Turbine C,2500,Location 3,40.7128,-74.006,Region C,Online,Operations,9.73617,E,619.38259
