production_id,date,time,turbine_name,capacity,location_name,latitude,longitude,region,status,responsible_department,wind_speed,wind_direction,energy_produced
21169,2024-07-20,00-00-00,Turbine A,2200,Location 1,34.0522,-118.2437,Region A,Online,Operations,6.34892,S,1050.11606
21170,2024-07-20,00-00-00,Turbine B,2000,Location 2,36.7783,-119.4179,Region B,Online,Operations,11.44823,E,609.64564
21171,2024-07-20,00-00-00,Turbine C,2500,Location 3,40.7128,-74.006,Region C,Online,Operations,23.46438,SW,619.80901
21172,2024-07-20,00-10-00,Turbine A,2200,Location 1,34.0522,-118.2437,Region A,Online,Operations,4.06148,E,1282.76613
21173,2024-07-20,00-10-00,Turbine B,2000,Location 2,36.7783,-119.4179,Region B,Online,Operations,15.53224,N,1853.48827
21174,2024-07-20,00-10-00,Turbine C,2500,Location 3,40.7128,-74.006,Region C,Fault,Engineering,13.13758,N,0.0
21175,2024-07-20,00-20-00,Turbine A,2200,Location 1,34.0522,-118.2437,Region A,Online,Operations,11.26717,NW,614.04177
21176,2024-07-20,00-20-00,Turbine B,2000,Location 2,36.7783,-119.4179,Region B,Online,Operations,22.68386,N,690.53193
21177,2024-07-20,00-20-00,Turbine C,2500,Location 3,40.7128,-74.006,Region C,Online,Operations,21.86092,E,1939.49746
21178,2024-07-20,00-30-00,Turbine A,2200,Location 1,34.0522,-118.2437,Region A,Online,Operations,15.54935,NE,1369.13637
21179,2024-07-20,00-30-00,Turbine B,2000,Location 2,36.7783,-119.4179,Region B,Online,Operations,4.9094,N,1478.15069
21180,2024-07-20,00-30-00,Turbine C,2500,Location 3,40.7128,-74.006,Region C,Online,Operations,6.95123,N,1759.05153
21181,2024-07-20,00-40-00,Turbine A,2200,Location 1,34.0522,-118.2437,Region A,Online,Operations,10.34505,NE,1555.0845
21182,2024-07-20,00-40-00,Turbine B,2000,Location 2,36.7783,-119.4179,Region B,Online,Operations,19.49922,NW,660.16274
21183,2024-07-20,00-40-00,Turbine C,2500,Location 3,40.7128,-74.006,Region C,Online,Operations,23.10584,S,1762.41546
21184,2024-07-20,00-50-00,Turbine A,2200,Location 1,34.0522,-118.2437,Region A,Online,Operations,13.22829,N,684.42758
21185,2024-07-20,00-50-00,Turbine B,2000,Location 2,36.7783,-119.4179,Region B,Online,Operations,11.77109,E,910.25233
21186,2024-07-20,00-50-00,Turbine C,2500,Location 3,40.7128,-74.006,Region C,Online,Operations,7.39051,SE,1111.71738
21187,2024-07-20,01-00-00,Turbine A,2200,Location 1,34.0522,-118.2437,Region A,Online,Operations,10.70584,NE,1600.89351
21188,2024-07-20,01-00-00,Turbine B,2000,Location 2,36.7783,-119.4179,Region B,Online,Operations,19.59598,NW,1668.12472
21189,2024-07-20,01-00-00,Turbine C,2500,Location 3,40.7128,-74.006,Region C,Online,Operations,22.53336,N,547.70895
21190,2024-07-20,01-10-00,Turbine A,2200,Location 1,34.0522,-118.2437,Region A,Online,Operations,9.22785,S,1481.35936
21191,2024-07-20,01-10-00,Turbine B,2000,Location 2,36.7783,-119.4179,Region B,Online,Operations,9.09101,NE,1311.91292
