production_id,date,time,turbine_name,capacity,location_name,latitude,longitude,region,status,responsible_department,wind_speed,wind_direction,energy_produced
22033,2024-07-22,00-00-00,Turbine A,2200,Location 1,34.0522,-118.2437,Region A,Online,Operations,4.40021,NE,1988.86166
22034,2024-07-22,00-00-00,Turbine B,2000,Location 2,36.7783,-119.4179,Region B,Online,Operations,9.9617,NW,1298.44195
22035,2024-07-22,00-00-00,Turbine C,2500,Location 3,40.7128,-74.006,Region C,Online,Operations,22.52418,W,650.94866
22036,2024-07-22,00-10-00,Turbine A,2200,Location 1,34.0522,-118.2437,Region A,Online,Operations,10.41698,N,1916.05561
22037,2024-07-22,00-10-00,Turbine B,2000,Location 2,36.7783,-119.4179,Region B,Online,Operations,20.14833,SE,1112.43325
22038,2024-07-22,00-10-00,Turbine C,2500,Location 3,40.7128,-74.006,Region C,Online,Operations,16.5066,NE,1825.83074
22039,2024-07-22,00-20-00,Turbine A,2200,Location 1,34.0522,-118.2437,Region A,Online,Operations,2.17126,SE,1319.56898
22040,2024-07-22,00-20-00,Turbine B,2000,Location 2,36.7783,-119.4179,Region B,Online,Operations,2.58006,N,1970.52379
22041,2024-07-22,00-20-00,Turbine C,2500,Location 3,40.7128,-74.006,Region C,Online,Operations,18.45101,NW,1502.49944
22042,2024-07-22,00-30-00,Turbine A,2200,Location 1,34.0522,-118.2437,Region A,Online,Operations,4.02668,S,1853.3366
22043,2024-07-22,00-30-00,Turbine B,2000,Location 2,36.7783,-119.4179,Region B,Online,Operations,12.66414,SE,647.06809
22044,2024-07-22,00-30-00,Turbine C,2500,Location 3,40.7128,-74.006,Region C,Online,Operations,6.01368,N,1476.12099
22045,2024-07-22,00-40-00,Turbine A,2200,Location 1,34.0522,-118.2437,Region A,Online,Operations,16.35686,N,1865.90876
22046,2024-07-22,00-40-00,Turbine B,2000,Location 2,36.7783,-119.4179,Region B,Online,Operations,2.02861,NW,1170.13982
22047,2024-07-22,00-40-00,Turbine C,2500,Location 3,40.7128,-74.006,Region C,Online,Operations,9.63161,NW,1920.3117
22048,2024-07-22,00-50-00,Turbine A,2200,Location 1,34.0522,-118.2437,Region A,Online,Operations,12.49425,S,1527.40832
22049,2024-07-22,00-50-00,Turbine B,2000,Location 2,36.7783,-119.4179,Region B,Online,Operations,7.00314,N,1069.97871
22050,2024-07-22,00-50-00,Turbine C,2500,Location 3,40.7128,-74.006,Region C,Online,Operations,23.07951,N,614.44696
22051,2024-07-22,01-00-00,Turbine A,2200,Location 1,34.0522,-118.2437,Region A,Online,Operations,2.93109,W,711.05054
22052,2024-07-22,01-00-00,Turbine B,2000,Location 2,36.7783,-119.4179,Region B,Online,Operations,21.48237,NW,1610.83253
22053,2024-07-22,01-00-00,Turbine C,2500,Location 3,40.7128,-74.006,Region C,Online,Operations,24.98597,NE,1706.0968
22054,2024-07-22,01-10-00,Turbine A,2200,Location 1,34.0522,-118.2437,Region A,Online,Operations,3.27055,S,1482.43153
22055,2024-07-22,01-10-00,Turbine B,2000,Location 2,36.7783,-119.4179,Region B,Online,Operations,16.37455,E,1445.39009
22056,2024-07-22,01-10-00,Turbine C,2500,Location 3,40.7128,-74.006,Region C,Reactive Maintenance,Maintenance,6.27742,NE,0.0
22057,2024-07-22,01-20-00,Turbine A,2200,Location 1,34.0522,-118.2437,Region A,Online,Operations,22.46016,SE,896.19953
22058,2024-07-22,01-20-00,Turbine B,2000,Location 2,36.7783,-119.4179,Region B,Online,Operations,4.51138,NW,1068.62984
22059,2024-07-22,01-20-00,Turbine C,2500,Location 3,40.7128,-74.006,Region C,Preventive Maintenance,Maintenance,2.31766,NE,0.0
22060,2024-07-22,01-30-00,Turbine A,2200,Location 1,34.0522,-118.2437,Region A,Online,Operations,16.40906,SE,1045.67573
22061,2024-07-22,01-30-00,Turbine B,2000,Location 2,36.7783,-119.4179,Region B,Online,Operations,22.64437,N,855.45916
22062,2024-07-22,01-30-00,Turbine C,2500,Location 3,40.7128,-74.006,Region C,Online,Operations,10.23196,SW,1725.31435
22063,2024-07-22,01-40-00,Turbine A,2200,Location 1,34.0522,-118.2437,Region A,Online,Operations,22.37187,S,1455.06307
22064,2024-07-22,01-40-00,Turbine B,2000,Location 2,36.7783,-119.4179,Region B,Reactive Maintenance,Maintenance,10.63307,S,0.0
22065,2024-07-22,01-40-00,Turbine C,2500,Location 3,40.7128,-74.006,Region C,Online,Operations,5.46394,NW,571.97757
22066,2024-07-22,01-50-00,Turbine A,2200,Location 1,34.0522,-118.2437,Region A,Online,Operations,8.27371,S,840.57673
22067,2024-07-22,01-50-00,Turbine B,2000,Location 2,36.7783,-119.4179,Region B,Online,Operations,19.93538,N,1765.2145
22068,2024-07-22,01-50-00,Turbine C,2500,Location 3,40.7128,-74.006,Region C,Online,Operations,9.40552,NE,1471.69904
22069,2024-07-22,02-00-00,Turbine A,2200,Location 1,34.0522,-118.2437,Region A,Fault,Engineering,2.53613,S,0.0
22070,2024-07-22,02-00-00,Turbine B,2000,Location 2,36.7783,-119.4179,Region B,Online,Operations,14.15681,SW,1098.00278
22071,2024-07-22,02-00-00,Turbine C,2500,Location 3,40.7128,-74.006,Region C,Preventive Maintenance,Maintenance,22.80146,E,0.0
22072,2024-07-22,02-10-00,Turbine A,2200,Location 1,34.0522,-118.2437,Region A,Online,Operations,24.05497,N,1882.92834
22073,2024-07-22,02-10-00,Turbine B,2000,Location 2,36.7783,-119.4179,Region B,Online,Operations,20.79507,N,1807.80157
22074,2024-07-22,02-10-00,Turbine C,2500,Location 3,40.7128,-74.006,Region C,Online,Operations,10.91485,E,1342.26019
22075,2024-07-22,02-20-00,Turbine A,2200,Location 1,34.0522,-118.2437,Region A,Online,Operations,19.82539,S,1996.21041
22076,2024-07-22,02-20-00,Turbine B,2000,Location 2,36.7783,-119.4179,Region B,Online,Operations,19.10479,W,579.89384
22077,2024-07-22,02-20-00,Turbine C,2500,Location 3,40.7128,-74.006,Region C,Online,Operations,22.91034,SW,1421.9651
22078,2024-07-22,02-30-00,Turbine A,2200,Location 1,34.0522,-118.2437,Region A,Online,Operations,19.51511,NW,1029.8998
22079,2024-07-22,02-30-00,Turbine B,2000,Location 2,36.7783,-119.4179,Region B,Online,Operations,11.13792,SE,1847.88218
22080,2024-07-22,02-30-00,Turbine C,2500,Location 3,40.7128,-74.006,Region C,Online,Operations,22.74672,SE,914.96413
22081,2024-07-22,02-40-00,Turbine A,2200,Location 1,34.0522,-118.2437,Region A,Online,Operations,19.82571,SW,1871.63003
