production_id,date,time,turbine_name,capacity,location_name,latitude,longitude,region,status,responsible_department,wind_speed,wind_direction,energy_produced
16849,2024-07-10,00-00-00,Turbine A,2200,Location 1,34.0522,-118.2437,Region A,Online,Operations,24.64764,N,686.96944
16850,2024-07-10,00-00-00,Turbine B,2000,Location 2,36.7783,-119.4179,Region B,Online,Operations,22.99127,SW,1316.66805
16851,2024-07-10,00-00-00,Turbine C,2500,Location 3,40.7128,-74.006,Region C,Online,Operations,10.2888,NE,1287.41995
16852,2024-07-10,00-10-00,Turbine A,2200,Location 1,34.0522,-118.2437,Region A,Online,Operations,10.16763,W,1672.71872
16853,2024-07-10,00-10-00,Turbine B,2000,Location 2,36.7783,-119.4179,Region B,Online,Operations,7.68731,SW,1690.99232
16854,2024-07-10,00-10-00,Turbine C,2500,Location 3,40.7128,-74.006,Region C,Online,Operations,16.44833,S,1603.28819
16855,2024-07-10,00-20-00,Turbine A,2200,Location 1,34.0522,-118.2437,Region A,Online,Operations,10.2545,NW,1673.27929
16856,2024-07-10,00-20-00,Turbine B,2000,Location 2,36.7783,-119.4179,Region B,Online,Operations,18.30409,SE,913.81459
16857,2024-07-10,00-20-00,Turbine C,2500,Location 3,40.7128,-74.006,Region C,Online,Operations,22.28063,NW,701.7387
16858,2024-07-10,00-30-00,Turbine A,2200,Location 1,34.0522,-118.2437,Region A,Online,Operations,12.40088,E,1742.04991
16859,2024-07-10,00-30-00,Turbine B,2000,Location 2,36.7783,-119.4179,Region B,Online,Operations,13.93352,SE,950.29858
16860,2024-07-10,00-30-00,Turbine C,2500,Location 3,40.7128,-74.006,Region C,Online,Operations,11.64007,NW,1161.37673
16861,2024-07-10,00-40-00,Turbine A,2200,Location 1,34.0522,-118.2437,Region A,Online,Operations,12.71917,NE,509.35292
16862,2024-07-10,00-40-00,Turbine B,2000,Location 2,36.7783,-119.4179,Region B,Preventive Maintenance,Maintenance,18.45112,N,0.0
16863,2024-07-10,00-40-00,Turbine C,2500,Location 3,40.7128,-74.006,Region C,Online,Operations,24.06197,NE,1836.80441
16864,2024-07-10,00-50-00,Turbine A,2200,Location 1,34.0522,-118.2437,Region A,Online,Operations,20.05856,SW,859.17302
16865,2024-07-10,00-50-00,Turbine B,2000,Location 2,36.7783,-119.4179,Region B,Online,Operations,19.20614,S,1584.07617
16866,2024-07-10,00-50-00,Turbine C,2500,Location 3,40.7128,-74.006,Region C,Online,Operations,8.01883,SW,1989.93494
16867,2024-07-10,01-00-00,Turbine A,2200,Location 1,34.0522,-118.2437,Region A,Online,Operations,2.13594,S,1912.52017
16868,2024-07-10,01-00-00,Turbine B,2000,Location 2,36.7783,-119.4179,Region B,Online,Operations,15.88568,N,1509.72348
