production_id,date,time,turbine_name,capacity,location_name,latitude,longitude,region,status,responsible_department,wind_speed,wind_direction,energy_produced
15985,2024-07-08,00-00-00,Turbine A,2200,Location 1,34.0522,-118.2437,Region A,Online,Operations,23.32572,SE,1499.06613
15986,2024-07-08,00-00-00,Turbine B,2000,Location 2,36.7783,-119.4179,Region B,Online,Operations,8.276,NE,1324.08663
15987,2024-07-08,00-00-00,Turbine C,2500,Location 3,40.7128,-74.006,Region C,Online,Operations,15.79341,E,1478.58734
15988,2024-07-08,00-10-00,Turbine A,2200,Location 1,34.0522,-118.2437,Region A,Online,Operations,12.80328,NW,1529.33131
15989,2024-07-08,00-10-00,Turbine B,2000,Location 2,36.7783,-119.4179,Region B,Online,Operations,12.73782,S,1640.65736
15990,2024-07-08,00-10-00,Turbine C,2500,Location 3,40.7128,-74.006,Region C,Online,Operations,5.70323,NW,1361.30679
15991,2024-07-08,00-20-00,Turbine A,2200,Location 1,34.0522,-118.2437,Region A,Online,Operations,9.87429,S,1735.96152
15992,2024-07-08,00-20-00,Turbine B,2000,Location 2,36.7783,-119.4179,Region B,Online,Operations,3.87498,E,558.19916
15993,2024-07-08,00-20-00,Turbine C,2500,Location 3,40.7128,-74.006,Region C,Online,Operations,14.23707,E,527.82981
15994,2024-07-08,00-30-00,Turbine A,2200,Location 1,34.0522,-118.2437,Region A,Online,Operations,2.02868,SW,688.2067
15995,2024-07-08,00-30-00,Turbine B,2000,Location 2,36.7783,-119.4179,Region B,Online,Operations,23.78984,N,1543.78817
15996,2024-07-08,00-30-00,Turbine C,2500,Location 3,40.7128,-74.006,Region C,Inspection,Maintenance,2.94392,E,0.0
15997,2024-07-08,00-40-00,Turbine A,2200,Location 1,34.0522,-118.2437,Region A,Online,Operations,17.23542,SW,582.39261
15998,2024-07-08,00-40-00,Turbine B,2000,Location 2,36.7783,-119.4179,Region B,Online,Operations,20.99223,E,1191.0471
15999,2024-07-08,00-40-00,Turbine C,2500,Location 3,40.7128,-74.006,Region C,Online,Operations,18.95639,W,971.34259
16000,2024-07-08,00-50-00,Turbine A,2200,Location 1,34.0522,-118.2437,Region A,Inspection,Maintenance,10.66899,NE,0.0
16001,2024-07-08,00-50-00,Turbine B,2000,Location 2,36.7783,-119.4179,Region B,Online,Operations,21.22776,S,618.42423
16002,2024-07-08,00-50-00,Turbine C,2500,Location 3,40.7128,-74.006,Region C,Online,Operations,22.30712,NE,1644.53358
16003,2024-07-08,01-00-00,Turbine A,2200,Location 1,34.0522,-118.2437,Region A,Online,Operations,13.97328,N,1292.79749
16004,2024-07-08,01-00-00,Turbine B,2000,Location 2,36.7783,-119.4179,Region B,Online,Operations,19.18861,NW,665.58739
16005,2024-07-08,01-00-00,Turbine C,2500,Location 3,40.7128,-74.006,Region C,Online,Operations,9.04271,N,1815.63567
16006,2024-07-08,01-10-00,Turbine A,2200,Location 1,34.0522,-118.2437,Region A,Online,Operations,2.53191,NW,806.9165
16007,2024-07-08,01-10-00,Turbine B,2000,Location 2,36.7783,-119.4179,Region B,Online,Operations,19.90238,SW,1263.4132
16008,2024-07-08,01-10-00,Turbine C,2500,Location 3,40.7128,-74.006,Region C,Online,Operations,24.85906,S,983.92755
16009,2024-07-08,01-20-00,Turbine A,2200,Location 1,34.0522,-118.2437,Region A,Online,Operations,5.52667,E,1394.54266
16010,2024-07-08,01-20-00,Turbine B,2000,Location 2,36.7783,-119.4179,Region B,Reactive Maintenance,Maintenance,11.20228,NE,0.0
16011,2024-07-08,01-20-00,Turbine C,2500,Location 3,40.7128,-74.006,Region C,Online,Operations,21.59275,NW,1366.99597
16012,2024-07-08,01-30-00,Turbine A,2200,Location 1,34.0522,-118.2437,Region A,Online,Operations,11.29339,NW,1824.75463
16013,2024-07-08,01-30-00,Turbine B,2000,Location 2,36.7783,-119.4179,Region B,Online,Operations,20.12777,NE,1617.81909
16014,2024-07-08,01-30-00,Turbine C,2500,Location 3,40.7128,-74.006,Region C,Reactive Maintenance,Maintenance,17.66842,NW,0.0
16015,2024-07-08,01-40-00,Turbine A,2200,Location 1,34.0522,-118.2437,Region A,Online,Operations,10.88413,S,1447.95764
16016,2024-07-08,01-40-00,Turbine B,2000,Location 2,36.7783,-119.4179,Region B,Online,Operations,22.63392,S,628.89224
16017,2024-07-08,01-40-00,Turbine C,2500,Location 3,40.7128,-74.006,Region C,Online,Operations,17.38005,W,1885.31843
16018,2024-07-08,01-50-00,Turbine A,2200,Location 1,34.0522,-118.2437,Region A,Online,Operations,7.59661,SE,926.25782
16019,2024-07-08,01-50-00,Turbine B,2000,Location 2,36.7783,-119.4179,Region B,Online,Operations,9.08743,NE,1566.4005
16020,2024-07-08,01-50-00,Turbine C,2500,Location 3,40.7128,-74.006,Region C,Online,Operations,16.94284,SW,1314.87208
16021,2024-07-08,02-00-00,Turbine A,2200,Location 1,34.0522,-118.2437,Region A,Online,Operations,24.03193,E,1393.62756
16022,2024-07-08,02-00-00,Turbine B,2000,Location 2,36.7783,-119.4179,Region B,Online,Operations,11.12505,SW,542.85653
